file_scenario,file_period,geo_name,ensmean,ensmax,ensmin
historical,1995,2904,4.37,5.52,3.52
historical,1995,2905,3.64,4.92,2.9
historical,1995,2906,2.9,4.32,2.27
historical,1995,2911,5.87,6.65,4.55
historical,1995,2912,5.41,6.26,4.15
historical,1995,2913,5.03,5.97,3.95
historical,1995,2914,5.3,6.23,4.1
historical,1995,3000,6.51,7.75,5.65
historical,1995,3002,6.51,7.75,5.65
historical,1995,3003,6.79,7.9,5.8
historical,1995,3004,6.51,7.75,5.65
historical,1995,3006,6.51,7.75,5.65
historical,1995,3008,6.79,7.9,5.8
historical,1995,3011,7.07,8.05,5.95
historical,1995,3012,6.79,7.68,5.82
historical,1995,3013,7.07,8.05,5.95
historical,1995,3015,7.07,8.05,5.95
historical,1995,3016,7.07,8.05,5.95
historical,1995,3018,7.15,8.13,5.98
historical,1995,3019,6.79,7.68,5.82
historical,1995,3020,6.92,7.84,5.96
historical,1995,3021,6.78,7.68,5.97
historical,1995,3022,7.07,8.05,6.25
historical,1995,3023,7.05,8,6.1
historical,1995,3024,7.49,8.74,6.22
historical,1995,3025,7.05,8,5.95
historical,1995,3026,7.06,8.02,6.05
historical,1995,3027,7.19,8.17,6
historical,1995,3028,7.19,8.17,6
historical,1995,3029,7.28,8.36,6.08
historical,1995,3030,7.06,8.28,5.9
historical,1995,3031,6.53,7.41,5.64
historical,1995,3032,6.54,7.3,5.63
historical,1995,3033,6.5,7.3,5.7
historical,1995,3034,6.5,7.3,5.7
historical,1995,3036,6.78,7.78,5.91
historical,1995,3037,7.03,8.12,6.1
historical,1995,3038,6.86,7.85,5.97
historical,1995,3039,6.27,6.93,5.47
historical,1995,3040,6.27,6.93,5.47
historical,1995,3041,6.27,6.93,5.47
historical,1995,3042,6.5,7.3,5.7
historical,1995,3043,6.52,7.43,5.72
historical,1995,3044,6.27,6.93,5.47
historical,1995,3045,6.68,7.68,5.8
historical,1995,3046,6.35,7.18,5.61
historical,1995,3047,6.44,7.43,5.75
historical,1995,3048,6.44,7.43,5.75
historical,1995,3049,6.54,7.55,5.75
historical,1995,3051,6.51,7.75,5.65
historical,1995,3052,6.27,7.15,5.45
historical,1995,3053,6.51,7.75,5.65
historical,1995,3054,6.27,7.15,5.45
historical,1995,3055,6.27,6.93,5.47
historical,1995,3056,6.03,6.55,5.25
historical,1995,3057,6.03,6.55,5.25
historical,1995,3058,6.03,6.55,5.25
historical,1995,3059,6.3,7.48,5.47
historical,1995,3060,6.19,6.93,5.5
historical,1995,3061,6.34,7.3,5.75
historical,1995,3062,6.34,7.3,5.75
historical,1995,3063,6.47,7.69,5.56
historical,1995,3064,5.99,7.03,5.28
historical,1995,3065,6.51,7.75,5.65
historical,1995,3066,6.51,7.75,5.65
historical,1995,3067,6.51,7.75,5.65
historical,1995,3068,6.27,7.15,5.45
historical,1995,3070,6.03,6.55,5.25
historical,1995,3071,6.03,6.55,5.25
historical,1995,3072,6.03,6.55,5.25
historical,1995,3073,6.19,6.93,5.5
historical,1995,3074,6.31,7.35,5.65
historical,1995,3075,6.31,7.35,5.65
historical,1995,3076,6.31,7.35,5.65
historical,1995,3078,6.02,6.75,5.2
historical,1995,3079,6.15,6.73,5.33
historical,1995,3081,6.15,6.73,5.33
historical,1995,3082,6.31,7.35,5.65
historical,1995,3083,6.23,7.04,5.49
historical,1995,3084,6.28,6.9,5.4
historical,1995,3085,6.28,6.9,5.4
historical,1995,3087,6.28,7.15,5.48
historical,1995,3088,6.28,7.15,5.48
historical,1995,3089,6,7.23,5.28
historical,1995,3090,6.28,7.4,5.55
historical,1995,3091,6,7.23,5.28
historical,1995,3093,6.28,6.9,5.4
historical,1995,3094,6.28,6.9,5.4
historical,1995,3095,5.96,7.05,5.21
historical,1995,3096,5.72,7.05,5
historical,1995,3097,5.37,6.64,4.76
historical,1995,3099,4.25,5.11,3.62
historical,1995,3101,5.94,6.7,5.13
historical,1995,3102,6.02,6.82,5.18
historical,1995,3103,5.27,5.8,4.5
historical,1995,3104,5.77,6.35,4.95
historical,1995,3105,6.28,6.9,5.4
historical,1995,3106,5.92,6.88,5.15
historical,1995,3107,6.28,6.9,5.4
historical,1995,3108,5.77,6.35,4.95
historical,1995,3109,5.51,6.28,4.84
historical,1995,3111,5.26,6.2,4.73
historical,1995,3113,5.57,6.85,4.9
historical,1995,3114,5.26,6.2,4.73
historical,1995,3115,5.25,6.5,4.68
historical,1995,3116,5.31,6.55,4.75
historical,1995,3121,6.51,7.75,5.65
historical,1995,3122,5.89,6.78,5.08
historical,1995,3123,5.27,5.8,4.5
historical,1995,3124,5.27,5.8,4.5
historical,1995,3125,5.27,5.8,4.5
historical,1995,3126,5.27,5.8,4.5
historical,1995,3127,5.27,5.8,4.5
historical,1995,3128,5.27,5.8,4.5
historical,1995,3129,5.27,5.8,4.5
historical,1995,3130,5.1,5.68,4.53
historical,1995,3131,4.94,5.55,4.55
historical,1995,3132,4.94,5.55,4.55
historical,1995,3133,4.94,5.55,4.55
historical,1995,3134,5.27,6.32,4.73
historical,1995,3135,4.13,4.68,3.75
historical,1995,3136,4.79,5.69,4.29
historical,1995,3137,4.32,5.18,3.85
historical,1995,3138,4.32,5.18,3.85
historical,1995,3139,2.87,3.56,2.42
historical,1995,3140,4.25,5.08,3.8
historical,1995,3141,6.51,7.75,5.65
historical,1995,3142,6.51,7.75,5.65
historical,1995,3143,6.51,7.75,5.65
historical,1995,3144,5.89,6.78,5.08
historical,1995,3145,5.1,5.65,4.3
historical,1995,3146,5.27,5.8,4.5
historical,1995,3147,5.27,5.8,4.5
historical,1995,3148,5.1,5.65,4.3
