file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,5701,-32.2864662,137.4568564,70.46,75.35,65.48
AUS-44,rcp45,2050,5710,-32.5085856,137.8635988,63.13,67.45,58.4
AUS-44,rcp45,2050,5713,-31.4752215,137.52495,84.99,91.21,78.85
AUS-44,rcp45,2050,5715,-32.3217066,137.0757061,62.44,67.19,57.99
AUS-44,rcp45,2050,5717,-31.942375,135.6956855,68.57,73.88,63.57
AUS-44,rcp45,2050,5719,-30.8282916,135.3416118,85.39,91.38,79.33
AUS-44,rcp45,2050,5720,-30.3150171,136.7529715,101.12,107.99,94.23
AUS-44,rcp45,2050,5722,-30.453585,137.1649884,101.36,108.3,94.01
AUS-44,rcp45,2050,5723,-28.9559202,135.2338067,112.5,119.35,106.19
AUS-44,rcp45,2050,5724,-26.8871509,134.315055,126.28,133.75,120.36
AUS-44,rcp45,2050,5725,-30.4824896,136.8781406,99.68,106.8,92.25
AUS-44,rcp45,2050,5730,-30.9530754,138.5746963,77.05,83.19,71.85
AUS-44,rcp45,2050,5731,-28.1910242,139.9890729,127.68,134.49,121.91
AUS-44,rcp45,2050,5732,-30.4287236,139.486843,86.49,92.7,81.55
AUS-44,rcp45,2050,5733,-28.3195046,138.4708734,130.12,137.39,123.76
AUS-44,rcp45,2050,5734,-26.9136703,136.9395244,143.72,151.1,137.16
AUS-44,rcp45,2050,5950,-34.946115,138.5308098,32.36,35.55,29.45
AUS-44,rcp45,2050,6032,-31.6386136,115.7568078,40.87,46.2,34.45
AUS-44,rcp45,2050,6033,-31.5963626,115.7221208,40.87,46.2,34.45
AUS-44,rcp45,2050,6034,-31.5844042,115.6686384,40.87,46.2,34.45
AUS-44,rcp45,2050,6035,-31.525445,115.7380342,40.87,46.2,34.45
AUS-44,rcp45,2050,6037,-31.4854027,115.617149,40.87,46.2,34.45
AUS-44,rcp45,2050,6041,-31.3619334,115.5728053,40.87,46.2,34.45
AUS-44,rcp45,2050,6043,-31.1790042,115.4664384,33.77,38.65,27.6
AUS-44,rcp45,2050,6044,-30.9299042,115.3653479,33.77,38.65,27.6
AUS-44,rcp45,2050,6054,-31.8990247,115.9451338,37.04,40.85,30.3
AUS-44,rcp45,2050,6055,-31.8637696,115.9867842,37.04,40.85,30.3
AUS-44,rcp45,2050,6056,-31.85545,116.0414068,37.04,40.85,30.3
AUS-44,rcp45,2050,6057,-31.94988,116.0105928,37.04,40.85,30.3
AUS-44,rcp45,2050,6058,-31.9835064,116.0071508,37.04,40.85,30.3
AUS-44,rcp45,2050,6069,-31.7692488,116.0283108,37.04,40.85,30.3
AUS-44,rcp45,2050,6070,-31.9246644,116.0807001,37.04,40.85,30.3
AUS-44,rcp45,2050,6071,-31.8879079,116.1004142,37.04,40.85,30.3
